,leadId
709,5389940
710,5389950
711,5389962
712,5389966
713,5389971
714,5389972
715,5389977
716,5389979
717,5389988
718,5390001
719,5390014
720,5390025
721,5390038
722,5390102
723,5390142
724,5390171
725,5390201
726,5390204
727,5390205
728,5390207
729,5390225
730,5390230
731,5390248
732,5390250
733,5390255
734,5390273
735,5390281
736,5390307
737,5390355
738,5390356
739,5390388
740,5390392
741,5390405
742,5390434
743,5390441
744,5390461
745,5390496
746,5390547
747,5390585
748,5390596
749,5390609
750,5390612
751,5390622
752,5390636
753,5390654
754,5390681
755,5390696
756,5390701
757,5390773
758,5390777
759,5390803
760,5390812
761,5390821
762,5390824
763,5390844
764,5390849
765,5390868
766,5390902
767,5390921
768,5390937
769,5390951
770,5390952
771,5390971
772,5390977
773,5390978
774,5390986
775,5391006
776,5391022
777,5391036
778,5391046
779,5391052
780,5391077
781,5391109
782,5391116
783,5391121
784,5391136
785,5391167
786,5391177
787,5391189
788,5391190
789,5391213
790,5391233
791,5391250
792,5391252
793,5391265
794,5391271
795,5391289
796,5391303
797,5391472
798,5391477
799,5391496
800,5391497
801,5391516
802,5391631
803,5391632
804,5391634
805,5391637
806,5391639
807,5391641
808,5391664
809,5391669
810,5391680
811,5391690
812,5391706
813,5391719
814,5391726
815,5391728
816,5391743
817,5391754
818,5391826
819,5391827
820,5391829
821,5391832
822,5391854
823,5391870
824,5391883
825,5391905
826,5391908
827,5391909
828,5391917
829,5391924
830,5391982
831,5391987
832,5391999
833,5392030
834,5392066
835,5392081
836,5392198
837,5392201
838,5392235
839,5392246
840,5392325
841,5392328
842,5392338
843,5392346
844,5392366
845,5392393
846,5392401
847,5392404
848,5392422
849,5392449
850,5392455
851,5392464
852,5392500
853,5392504
854,5392525
855,5392557
856,5392659
857,5392672
858,5392701
859,5392707
860,5392719
861,5392748
862,5392751
863,5392758
864,5392807
865,5392895
866,5392915
867,5392921
868,5392922
869,5392963
870,5392964
871,5392971
872,5392999
873,5393034
874,5393262
875,5393308
876,5393310
877,5393329
878,5393400
879,5393407
880,5393437
881,5393448
882,5393450
883,5393459
884,5393467
885,5393476
886,5393485
887,5393488
888,5393505
889,5393508
890,5393542
891,5393544
892,5393552
893,5393564
894,5393577
895,5393588
896,5393628
897,5393648
898,5393658
899,5393663
900,5393680
901,5393709
902,5393712
903,5393736
904,5393744
905,5393758
906,5393765
907,5393774
908,5393786
909,5393801
910,5393820
911,5393849
912,5393885
913,5393917
914,5393921
915,5393955
916,5393965
917,5393997
918,5394147
919,5394151
920,5394156
921,5394162
922,5394169
923,5394182
924,5394203
925,5394213
926,5394221
927,5394227
928,5394230
929,5394231
930,5394248
931,5394267
932,5394271
933,5394277
934,5394288
935,5394291
936,5394293
937,5394294
938,5394313
939,5394326
940,5394342
941,5394352
942,5394490
943,5394504
944,5394515
945,5394546
946,5394591
947,5394596
948,5394620
949,5394621
950,5394641
951,5394695
952,5394747
953,5394752
954,5394769
955,5394797
956,5394800
957,5394804
958,5394805
959,5394807
960,5394872
961,5394884
962,5394897
963,5394908
964,5394936
965,5394937
966,5394939
967,5394970
968,5394972
969,5394985
970,5395000
971,5395021
972,5395052
973,5395082
974,5395105
975,5395118
976,5395138
977,5395146
978,5395308
979,5395316
980,5395400
981,5395409
982,5395453
983,5395456
984,5395465
985,5395510
986,5395514
987,5395609
988,5395747
989,5395765
990,5395780
991,5395781
992,5395785
993,5395800
994,5395821
995,5395833
996,5395849
997,5395851
998,5395852
999,5395869
1000,5395871
1001,5395885
1002,5395886
1003,5395900
1004,5395906
1005,5395928
1006,5395932
1007,5395935
1008,5395942
1009,5395971
1010,5395994
1011,5396059
1012,5396067
1013,5396081
1014,5396083
1015,5396090
1016,5396092
1017,5396122
1018,5396170
1019,5396206
1020,5396244
1021,5396246
1022,5396250
1023,5397282
1024,5397292
1025,5397296
1026,5397298
1027,5397354
1028,5397382
1029,5397389
1030,5397392
1031,5397426
1032,5397439
1033,5397456
1034,5397467
1035,5397488
1036,5397498
1037,5397552
1038,5397601
1039,5397673
1040,5397768
1041,5397805
1042,5397812
1043,5397889
1044,5397907
1045,5397910
1046,5397917
1047,5397932
1048,5397949
1049,5397975
1050,5398171
1051,5398248
1052,5398249
1053,5398281
1054,5398296
1055,5398315
1056,5398330
1057,5398353
1058,5398367
1059,5398387
1060,5398450
1061,5398453
1062,5398463
1063,5398509
1064,5398538
1065,5398550
1066,5398565
1067,5398654
1068,5398658
1069,5398662
1070,5398735
1071,5398737
1072,5398771
1073,5398796
1074,5398811
1075,5398812
1076,5398818
1077,5398844
1078,5398864
1079,5398874
1080,5398906
1081,5398952
1082,5398959
1083,5398965
1084,5399019
1085,5399038
1086,5399063
1087,5399078
1088,5399107
1089,5399112
1090,5399140
1091,5399159
1092,5399165
1093,5399175
1094,5399182
1095,5399186
1096,5399215
1097,5399217
1098,5399231
1099,5399236
1100,5399276
1101,5399285
1102,5399293
1103,5399323
1104,5399329
1105,5399336
1106,5399395
1107,5399397
1108,5399405
1109,5399435
1110,5399463
1111,5399469
1112,5399471
1113,5399483
1114,5399498
1115,5399555
1116,5399562
1117,5399586
1118,5399587
1119,5399617
1120,5399661
1121,5399662
1122,5399671
1123,5399682
1124,5399704
1125,5399708
1126,5399715
1127,5399736
1128,5399761
1129,5399762
1130,5399774
1131,5399775
1132,5399784
1133,5399785
1134,5399796
1135,5399812
1136,5399873
1137,5399956
1138,5399969
1139,5400024
1140,5400070
1141,5400085
1142,5400119
1143,5400158
1144,5400167
1145,5400168
1146,5400202
1147,5400212
1148,5400213
1149,5400235
1150,5400264
1151,5400269
1152,5400272
1153,5400286
1154,5400287
1155,5400293
1156,5400303
1157,5400316
1158,5400425
1159,5400542
1160,5400560
1161,5400578
1162,5400622
1163,5400623
1164,5400647
1165,5400667
1166,5400669
1167,5400677
1168,5400688
1169,5400720
1170,5400761
1171,5400815
1172,5400824
1173,5400830
1174,5400833
1175,5400842
1176,5400870
1177,5400874
1178,5400883
1179,5400885
1180,5400897
1181,5400900
1182,5400945
1183,5400954
1184,5400960
1185,5400969
1186,5400993
1187,5401014
1188,5401037
1189,5401047
1190,5401053
1191,5401056
1192,5401066
1193,5401135
1194,5401138
1195,5401154
1196,5401172
1197,5401181
1198,5401225
1199,5401318
1200,5401364
1201,5401388
1202,5401428
1203,5401456
1204,5401479
1205,5401499
1206,5401512
1207,5401553
1208,5401558
1209,5401560
1210,5401592
1211,5401665
1212,5401700
1213,5401717
1214,5401718
1215,5401746
1216,5401754
1217,5401810
1218,5401813
1219,5401814
1220,5401851
1221,5401860
1222,5401862
1223,5401863
1224,5401893
1225,5401972
1226,5402020
1227,5402054
1228,5402153
1229,5402183
1230,5402189
1231,5402199
1232,5403287
1233,5403299
1234,5403431
1235,5403435
1236,5403450
1237,5403507
1238,5403513
1239,5403520
1240,5404543
1241,5404545
1242,5404603
1243,5404645
1244,5404655
1245,5404682
1246,5404693
1247,5404741
1248,5404807
1249,5404826
1250,5404832
1251,5404858
1252,5404886
1253,5404899
1254,5404914
1255,5404920
1256,5404921
1257,5404936
1258,5404979
1259,5404980
1260,5405016
1261,5405043
1262,5405067
1263,5405245
1264,5405274
1265,5405311
1266,5405340
1267,5405413
1268,5405419
1269,5406456
1270,5406924
1271,5407009
1272,5407012
1273,5407055
1274,5407220
1275,5407223
1276,5407226
1277,5407442
1278,5407469
1279,5407551
1280,5407648
1281,5407670
1282,5407689
1283,5407846
1284,5408129
1285,5408622
1286,5409102
1287,5409317
1288,5409339
1289,5409365
1290,5409406
1291,5409461
1292,5409555
1293,5409666
1294,5409701
1295,5409709
1296,5409715
1297,5409732
1298,5409770
1299,5409777
1300,5409790
1301,5410006
1302,5410012
1303,5410076
1304,5410125
1305,5410232
1306,5410245
1307,5410269
1308,5410347
1309,5410360
1310,5410400
1311,5410412
1312,5410432
1313,5410441
1314,5410458
1315,5410488
1316,5410513
1317,5410514
1318,5410526
1319,5410536
1320,5410551
1321,5410759
1322,5410763
1323,5410813
1324,5410836
1325,5410881
1326,5410992
1327,5411100
1328,5411112
1329,5411124
1330,5411130
1331,5411134
1332,5411156
1333,5411175
1334,5411198
1335,5411203
1336,5411210
1337,5411215
1338,5411219
1339,5411398
1340,5411400
1341,5411443
1342,5411449
1343,5411468
1344,5411474
1345,5411475
1346,5411496
1347,5411500
1348,5411729
1349,5411750
1350,5411766
1351,5411774
1352,5411791
1353,5411801
1354,5412360
1355,5412422
1356,5412756
1357,5413392
1358,5415492
1359,5415749
1360,5416280
1361,5416458
1362,5416473
1363,5416525
1364,5416756
1365,5416826
1366,5416840
1367,5417488
1368,5417585
1369,5417723
1370,5418031
1371,5418038
1372,5418065
1373,5418103
1374,5418290
1375,5418782
1376,5418966
1377,5419133
1378,5419286
1379,5419343
1380,5419372
1381,5419667
1382,5419835
1383,5419868
1384,5419918
1385,5419961
1386,5420363
1387,5420405
1388,5421108
1389,5421165
1390,5421185
1391,5421246
1392,5421285
1393,5421294
1394,5421303
1395,5423270
1396,5423480
1397,5423872
1398,5423892
1399,5424132
1400,5424306
1401,5424323
1402,5424516
1403,5424824
1404,5424835
1405,5424842
1406,5424846
1407,5424966
1408,5425024
1409,5425027
1410,5425030
1411,5425036
1412,5425045
1413,5425051
1414,5425085
1415,5425591
1416,5425607
1417,5425712
1418,5425818
1419,5425924
1420,5426078
1421,5426110
1422,5426634
1423,5426635
1424,5426662
1425,5426742
1426,5426779
1427,5426783
1428,5426877
1429,5426913
1430,5426919
1431,5426952
1432,5427165
1433,5427243
1434,5427379
1435,5427534
1436,5427795
1437,5427864
1438,5429097
1439,5429144
1440,5429181
1441,5429184
1442,5429185
1443,5429188
1444,5429213
1445,5429264
1446,5429272
1447,5429316
1448,5429399
1449,5429983
1450,5430039
1451,5430069
1452,5430158
1453,5430335
1454,5430420
1455,5430437
1456,5430533
1457,5430668
1458,5430766
1459,5430774
1460,5430782
1461,5430793
1462,5430802
1463,5430826
1464,5431125
1465,5431239
1466,5431288
1467,5431334
1468,5431376
1469,5431380
1470,5431431
1471,5431527
1472,5431586
1473,5431606
1474,5431891
1475,5431897
1476,5432091
1477,5432115
1478,5432185
1479,5432224
1480,5432254
1481,5432260
1482,5432467
1483,5432489
1484,5432535
1485,5432587
1486,5432664
1487,5432695
1488,5432783
1489,5432904
1490,5433340
1491,5433629
1492,5433824
1493,5434051
1494,5434367
1495,5434564
1496,5434670
1497,5434681
1498,5434980
1499,5435019
1500,5435183
1501,5435233
1502,5436109
1503,5436155
1504,5436188
1505,5436399
1506,5436474
1507,5436498
1508,5436605
1509,5436784
1510,5436811
1511,5437016
1512,5437029
1513,5437350
1514,5437653
1515,5437763
1516,5437828
1517,5437894
1518,5437900
1519,5437937
1520,5438463
1521,5438525
1522,5438573
1523,5438605
1524,5438664
1525,5438854
1526,5439155
1527,5439168
1528,5439257
1529,5439299
1530,5439352
1531,5439416
1532,5439558
1533,5439662
1534,5439784
1535,5439861
1536,5440314
1537,5440393
1538,5441023
1539,5441153
1540,5441229
1541,5441310
1542,5442016
1543,5442250
1544,5442306
1545,5442334
1546,5442762
1547,5442852
1548,5442862
1549,5443127
1550,5443298
1551,5443299
1552,5443315
1553,5443332
1554,5443390
1555,5443408
1556,5443439
1557,5443458
1558,5443480
1559,5443498
1560,5443506
1561,5443516
1562,5443525
1563,5443562
1564,5443604
1565,5443644
1566,5443676
1567,5443720
1568,5443738
1569,5443746
1570,5443832
1571,5443833
1572,5443965
1573,5443966
1574,5443973
1575,5443978
1576,5444021
1577,5444026
1578,5444027
1579,5444063
1580,5444131
1581,5444132
1582,5444155
1583,5444160
1584,5444164
1585,5444173
1586,5444204
1587,5444233
1588,5444277
1589,5444280
1590,5444296
1591,5444313
1592,5444346
1593,5444364
1594,5444366
1595,5444407
1596,5444416
1597,5444445
1598,5444471
1599,5444500
1600,5444508
1601,5444519
1602,5444526
1603,5444561
1604,5444564
1605,5444597
1606,5444625
1607,5444644
1608,5444663
1609,5444707
1610,5444753
1611,5444756
1612,5444793
1613,5444824
1614,5444829
1615,5444881
1616,5444890
1617,5445896
1618,5445901
1619,5445909
1620,5445913
1621,5445930
1622,5445937
1623,5445938
1624,5445943
1625,5445968
1626,5445977
1627,5446017
1628,5446022
1629,5446027
1630,5446053
1631,5446063
1632,5447075
1633,5447130
1634,5447213
1635,5447225
1636,5447256
1637,5447259
1638,5447335
1639,5447571
1640,5447742
1641,5448833
1642,5448848
1643,5448914
1644,5449075
1645,5449187
1646,5449221
1647,5449285
1648,5449292
1649,5449429
1650,5449467
1651,5449470
1652,5449487
1653,5449680
1654,5452142
1655,5452144
1656,5452214
1657,5452231
1658,5452247
1659,5452429
1660,5452539
1661,5452601
1662,5452609
1663,5452616
1664,5452657
1665,5452960
1666,5453005
1667,5453483
1668,5453499
1669,5453522
1670,5453887
1671,5453933
1672,5454013
1673,5454026
1674,5454042
1675,5454100
1676,5454255
1677,5454314
1678,5454342
1679,5454343
1680,5454345
1681,5454543
1682,5454567
1683,5454587
1684,5454678
1685,5454810
1686,5454865
1687,5454888
1688,5454900
1689,5454923
1690,5454948
1691,5455087
1692,5455222
1693,5455273
1694,5455301
1695,5455332
1696,5455366
1697,5455456
1698,5455459
1699,5455464
1700,5455923
1701,5455926
1702,5455944
1703,5455961
1704,5455986
1705,5456693
1706,5456704
1707,5456726
1708,5456840
1709,5456859
1710,5456935
1711,5456994
1712,5457002
1713,5457005
1714,5457028
1715,5457253
1716,5457419
1717,5457504
1718,5457543
1719,5457552
1720,5457585
1721,5457609
1722,5457646
1723,5458045
1724,5458061
1725,5458082
1726,5458090
1727,5458110
1728,5458123
1729,5458124
1730,5458131
1731,5458137
1732,5458321
1733,5458358
1734,5458381
1735,5458382
1736,5458399
1737,5458416
1738,5458426
1739,5458464
1740,5458507
1741,5458590
1742,5458660
1743,5458664
1744,5458676
1745,5458977
1746,5459006
1747,5459008
1748,5459114
1749,5459176
1750,5459227
1751,5459291
1752,5459711
1753,5459782
1754,5459851
1755,5460031
1756,5460065
1757,5460071
1758,5460449
1759,5460462
1760,5460618
1761,5460632
1762,5460874
1763,5460927
1764,5460932
1765,5460983
1766,5461012
1767,5461024
1768,5461032
1769,5461052
1770,5461058
1771,5461070
1772,5461074
1773,5461087
1774,5461207
1775,5461212
1776,5461213
1777,5461268
1778,5461269
1779,5461291
1780,5461316
1781,5461327
1782,5461472
1783,5462012
1784,5462528
1785,5462530
1786,5462609
1787,5462611
1788,5462744
1789,5462747
1790,5462771
1791,5463152
1792,5463161
1793,5463162
1794,5463345
1795,5463462
1796,5463536
1797,5463585
1798,5464168
1799,5464182
1800,5464224
1801,5464552
1802,5464555
1803,5464694
1804,5464710
1805,5464750
1806,5464792
1807,5464810
1808,5464811
1809,5464856
1810,5464933
1811,5464972
1812,5465033
1813,5465094
1814,5465134
1815,5465233
1816,5465323
1817,5465393
1818,5465396
1819,5465432
1820,5465449
1821,5465890
1822,5465970
1823,5466044
1824,5466208
1825,5466233
1826,5466297
1827,5466454
1828,5466461
1829,5466487
1830,5466703
1831,5466760
1832,5466965
1833,5467026
1834,5467027
1835,5467049
1836,5467050
1837,5467053
1838,5467156
1839,5467173
1840,5467273
1841,5467276
1842,5467326
1843,5467832
1844,5467857
1845,5469056
1846,5469097
1847,5469166
1848,5469293
1849,5469455
1850,5469483
1851,5469485
1852,5469502
1853,5469528
1854,5469532
1855,5469584
1856,5469815
1857,5469881
1858,5469891
1859,5469905
1860,5469910
1861,5469935
1862,5470007
1863,5470010
1864,5470070
1865,5470072
1866,5470119
1867,5470121
1868,5470140
1869,5470170
1870,5470195
1871,5470237
1872,5470251
1873,5470306
1874,5470331
1875,5470337
1876,5470371
1877,5470437
1878,5470496
1879,5470548
1880,5470639
1881,5470658
1882,5470669
1883,5470673
1884,5470727
1885,5470738
1886,5470772
1887,5470829
1888,5470847
1889,5470853
1890,5470888
1891,5470904
1892,5470936
1893,5471001
1894,5471006
1895,5471047
1896,5471114
1897,5471165
1898,5471168
1899,5471169
1900,5471226
1901,5471304
1902,5471314
1903,5471339
1904,5471395
1905,5471400
1906,5471401
1907,5471417
1908,5471420
1909,5471529
1910,5471668
1911,5471676
1912,5471754
1913,5471854
1914,5471875
1915,5471939
1916,5471952
1917,5471958
1918,5471964
1919,5471973
1920,5471982
1921,5471996
1922,5472012
1923,5472031
1924,5472032
1925,5472046
1926,5472049
1927,5472063
1928,5472076
1929,5472077
1930,5472125
1931,5472131
1932,5472226
1933,5472228
1934,5472232
1935,5472239
1936,5472248
