cnpj,data_base,porte,origem
03535825000107,2019-11-01,Middle,Lista ativa
03585986000105,2022-04-01,Middle,Lista ativa
03602144000106,2015-04-01,Middle,Lista ativa
03605534000130,2022-06-01,Small,Passiva mkt
03609172000155,2021-09-01,Small,Passiva mkt
03612692000117,2020-12-01,Middle,Lista ativa
03618524000139,2018-03-01,SEM PORTE DEFINIDO,Lista ativa
03626642000199,2019-10-01,Very small,Lista ativa
03644084000194,2017-09-01,SEM PORTE DEFINIDO,Lista ativa
03658136000181,2022-01-01,Small,Lista ativa
03670744000101,2020-08-01,Small,Passiva mkt
03682759000270,2022-07-01,Middle,Passiva mkt
03692262000152,2022-02-01,Middle,Lista ativa
03698527000120,2018-08-01,SEM PORTE DEFINIDO,Lista ativa
03721993000189,2022-03-01,Small,Evento
03740977000133,2021-06-01,Large,Evento
03787963000175,2021-09-01,Small,Lista ativa
03850983000143,2021-08-01,Small,Passiva mkt
03871618000115,2022-09-01,Small,Lista ativa
03876426000100,2018-01-01,SEM PORTE DEFINIDO,Lista ativa
03899868000163,2015-07-01,SEM PORTE DEFINIDO,Lista ativa
03907818000180,2019-04-01,Middle,Lista ativa
03910770000160,2022-10-01,Middle,Lista ativa
03915427000108,2022-05-01,Small,Evento
03916076000150,2021-01-01,Small,Lista ativa
03921454000193,2021-08-01,Small,Lista ativa
03949685000105,2022-08-01,Large,Lista ativa
03959325000194,2022-09-01,Small,Lista ativa
03975374000110,2022-04-01,Small,Lista ativa
03980282000129,2022-01-01,Small,Passiva mkt
03984129000170,2018-08-01,SEM PORTE DEFINIDO,Lista ativa
04002665000195,2016-05-01,Very small,Evento
04003780000184,2021-05-01,Middle,Evento
04006251000134,2021-08-01,Small,Lista ativa
04026798000100,2019-01-01,Small,Evento
04053143000112,2018-04-01,SEM PORTE DEFINIDO,Lista ativa
04070722000173,2022-07-01,Middle,Evento
04075439000134,2021-04-01,Small,Lista ativa
04080884000192,2018-06-01,SEM PORTE DEFINIDO,Lista ativa
04094004000137,2022-02-01,Small,Passiva mkt
04101136000149,2019-09-01,Middle,Lista ativa
04141568000183,2019-05-01,SEM PORTE DEFINIDO,Lista ativa
04174315000106,2021-07-01,Small,Lista ativa
04188455000133,2021-10-01,Small,Lista ativa
04200679000113,2021-09-01,Very small,Indicação
04205581000159,2021-04-01,Small,Evento
04215721001656,2021-12-01,Large,Lista ativa
04222866000106,2019-11-01,SEM PORTE DEFINIDO,Lista ativa
04222989000139,2022-06-01,Middle,Lista ativa
04231268000195,2022-07-01,Middle,Passiva mkt
04246339000123,2018-10-01,SEM PORTE DEFINIDO,Lista ativa
04246346000125,2019-03-01,Small,Lista ativa
04260763000122,2022-07-01,Small,Passiva mkt
04262870000190,2021-12-01,Middle,Lista ativa
04290983000107,2019-06-01,SEM PORTE DEFINIDO,Lista ativa
04320900000177,2020-12-01,Middle,Indicação
04344088000110,2020-10-01,Small,Lista ativa
04351954000108,2019-08-01,Middle,Links patrocinados
04361421000107,2019-11-01,SEM PORTE DEFINIDO,Lista ativa
04368185000142,2022-01-01,Large,Lista ativa
04374350000179,2021-03-01,Middle,Indicação
04398168000158,2020-02-01,SEM PORTE DEFINIDO,Lista ativa
04423462000172,2021-01-01,Very small,Lista ativa
04428897000100,2020-01-01,Small,Lista ativa
04431495000164,2021-01-01,Middle,Lista ativa
04432182000120,2021-06-01,Small,Lista ativa
04433638000177,2020-09-01,Small,Lista ativa
04435399000194,2019-11-01,Middle,Evento
04439228000133,2020-01-01,Small,Evento
04452037000101,2022-10-01,Middle,Lista ativa
04500579000102,2021-02-01,Very small,Lista ativa
04546653000121,2022-06-01,Large,Lista ativa
04560916000157,2021-02-01,Middle,Lista ativa
04562596000174,2022-06-01,Middle,Lista ativa
04569556000154,2022-01-01,Small,Lista ativa
04569945000180,2021-07-01,Middle,Evento
04589559000150,2021-05-01,Small,Lista ativa
04590351000150,2021-11-01,Small,Indicação
04592872000147,2020-07-01,Very small,Lista ativa
04597658000183,2019-10-01,SEM PORTE DEFINIDO,Lista ativa
04601397000128,2021-08-01,Large,Lista ativa
04624125000143,2021-03-01,Middle,Lista ativa
04641614000103,2019-06-01,SEM PORTE DEFINIDO,Lista ativa
04643363000104,2021-01-01,Middle,Passiva mkt
04659982000189,2022-05-01,Small,Lista ativa
04676871000180,2020-01-01,Small,Lista ativa
04677682000122,2019-10-01,SEM PORTE DEFINIDO,Lista ativa
04684417000171,2022-07-01,Small,Lista ativa
04693497000121,2017-08-01,Middle,Evento
04696962000188,2020-10-01,Very small,Lista ativa
04700392000152,2018-09-01,SEM PORTE DEFINIDO,Lista ativa
04702978000156,2018-07-01,Middle,Lista ativa
04721465000192,2022-09-01,Middle,Lista ativa
04736612000106,2021-11-01,Small,Passiva mkt
04739697000178,2019-05-01,SEM PORTE DEFINIDO,Lista ativa
04755956000154,2021-04-01,Middle,Lista ativa
04763524000195,2021-09-01,Middle,Lista ativa
04765927000173,2021-02-01,Middle,Lista ativa
04798677000682,2021-11-01,Middle,Passiva mkt
04813607000141,2018-03-01,SEM PORTE DEFINIDO,Lista ativa
04817246000101,2020-11-01,Very small,Lista ativa
04818759000137,2020-05-01,Small,Lista ativa
04843360000106,2019-06-01,Very small,Lista ativa
04846848000197,2019-06-01,SEM PORTE DEFINIDO,Lista ativa
04860567000199,2022-04-01,Large,Evento
04871746000121,2021-07-01,Small,Lista ativa
04881406000181,2020-09-01,Very small,Lista ativa
04883570000128,2022-03-01,Middle,Lista ativa
04903083000180,2019-10-01,Middle,Evento
04908757000139,2017-03-01,SEM PORTE DEFINIDO,Lista ativa
04914489000168,2018-12-01,SEM PORTE DEFINIDO,Lista ativa
04933237000186,2021-12-01,Small,Lista ativa
04946908000143,2022-01-01,Small,Passiva mkt
04966359000179,2022-04-01,Middle,Lista ativa
04980160000103,2021-01-01,Small,Lista ativa
04994173000123,2018-07-01,SEM PORTE DEFINIDO,Lista ativa
05013932000192,2018-07-01,Very small,Lista ativa
05026699000182,2020-12-01,Middle,Indicação
05033902000148,2022-10-01,Middle,Lista ativa
05036434000165,2022-09-01,Middle,Lista ativa
05058790000180,2019-10-01,SEM PORTE DEFINIDO,Lista ativa
05079158000112,2021-05-01,Small,Lista ativa
05087575000107,2020-01-01,Small,Lista ativa
05113942000108,2021-01-01,Middle,Lista ativa
05154130000100,2022-06-01,Small,Passiva mkt
05192205000130,2021-03-01,Small,Lista ativa
05199870000155,2020-07-01,Small,Evento
05262896000109,2020-10-01,Middle,Lista ativa
05279628000191,2021-12-01,Small,Lista ativa
05319720000138,2020-03-01,Small,Lista ativa
05359075000268,2022-05-01,Middle,Lista ativa
05360346000114,2020-07-01,SEM PORTE DEFINIDO,Lista ativa
05362378000159,2022-09-01,Small,Lista ativa
05370110000169,2021-10-01,Small,Lista ativa
05377571000163,2021-04-01,Middle,Lista ativa
05393464000129,2021-03-01,Small,Lista ativa
05395607000131,2020-12-01,Small,Lista ativa
05397945000102,2021-01-01,Small,Passiva mkt
05398061000172,2022-02-01,Middle,Lista ativa
05413822000118,2021-05-01,Small,Passiva mkt
05415217000186,2020-09-01,Small,Lista ativa
05415557000107,2021-02-01,Small,Lista ativa
05427451000123,2018-12-01,Small,Passiva mkt
05427462000103,2020-12-01,Very small,Lista ativa
05428195000199,2021-04-01,Middle,Evento
05456287000182,2022-08-01,Very small,Links patrocinados
05457125000169,2020-06-01,Small,Lista ativa
05459364000158,2018-07-01,SEM PORTE DEFINIDO,Lista ativa
05459432000189,2021-11-01,Middle,Evento
05470651000169,2022-05-01,Middle,Passiva mkt
05476154000178,2021-10-01,Middle,Indicação
05485279000164,2020-06-01,Large,Lista ativa
05490225000197,2021-06-01,Small,Evento
05490711000105,2019-11-01,SEM PORTE DEFINIDO,Lista ativa
05502038000186,2020-04-01,Very small,Passiva mkt
05510154000147,2022-05-01,Small,Evento
05511344000189,2021-01-01,Middle,Lista ativa
05512655000162,2022-01-01,Very small,Passiva mkt
05528631000100,2020-12-01,Very small,Lista ativa
05542701000176,2020-08-01,SEM PORTE DEFINIDO,Lista ativa
05548055000154,2018-03-01,SEM PORTE DEFINIDO,Lista ativa
05565519000130,2019-12-01,Very small,Indicação
05576294000118,2021-12-01,Middle,Lista ativa
05593255000129,2021-02-01,Small,Lista ativa
05596488000185,2018-07-01,SEM PORTE DEFINIDO,Lista ativa
05600254000164,2021-01-01,Very small,Passiva mkt
05613186000178,2021-06-01,Small,Lista ativa
05613279000100,2021-10-01,Small,Lista ativa
05617563000147,2022-03-01,Small,Lista ativa
05623256000179,2015-11-01,Middle,Lista ativa
05624503000151,2021-05-01,Large,Lista ativa
05634190000112,2022-02-01,Small,Passiva mkt
05640336000132,2021-06-01,Small,Lista ativa
05658907000166,2022-05-01,Middle,Lista ativa
05662773000157,2017-06-01,Middle,Lista ativa
05670503000198,2021-06-01,Small,Evento
05688834000155,2021-01-01,Very small,Lista ativa
05690064000185,2019-05-01,Middle,Passiva mkt
05738058000150,2021-01-01,Small,Links patrocinados
05761373000107,2022-05-01,Small,Lista ativa
05806253000170,2021-08-01,Small,Lista ativa
05809591000166,2021-07-01,Small,Lista ativa
05812515000100,2021-06-01,Middle,Evento
05815875000165,2021-07-01,Very Small,Passiva mkt
05848002001120,2020-11-01,Middle,Passiva mkt
05855097000138,2022-01-01,Very small,Passiva mkt
05937920000154,2019-06-01,SEM PORTE DEFINIDO,Lista ativa
05940708000146,2021-05-01,Very Small,Evento
05954407000171,2022-08-01,Small,Evento
05955849000132,2021-06-01,Small,Lista ativa
05964994000260,2021-03-01,Small,Lista ativa
05975075000101,2020-08-01,Small,Lista ativa
05985424000176,2021-06-01,Small,Lista ativa
05990716000105,2021-04-01,Small,Lista ativa
06027810000118,2022-08-01,Small,Passiva mkt
06034135000154,2022-03-01,Small,Lista ativa
06042997000129,2019-02-01,SEM PORTE DEFINIDO,Lista ativa
06065614000138,2021-07-01,Middle,Lista ativa
06078532000128,2018-03-01,Small,Indicação
06090977000123,2021-02-01,Middle,Lista ativa
06101244000147,2021-08-01,Middle,Evento
06107792000184,2019-01-01,SEM PORTE DEFINIDO,Lista ativa
06111479000110,2021-03-01,Small,Lista ativa
06127159000158,2021-03-01,Very small,Lista ativa
06153856000183,2022-02-01,Small,Evento
06170489000126,2022-03-01,Small,Lista ativa
06175892000148,2021-03-01,Middle,Lista ativa
06179861000165,2020-05-01,Large,Lista ativa
06198189000155,2021-01-01,Very small,Evento
06198864000146,2022-09-01,Small,Lista ativa
06207532000180,2021-03-01,Small,Lista ativa
06219664000122,2018-12-01,SEM PORTE DEFINIDO,Lista ativa
06223664000104,2018-06-01,SEM PORTE DEFINIDO,Lista ativa
06250888000105,2021-04-01,Small,Lista ativa
06260786000162,2021-06-01,Small,Lista ativa
06288375001661,2022-04-01,Large,Lista ativa
06295068000121,2022-09-01,Small,Lista ativa
06298395000137,2018-08-01,SEM PORTE DEFINIDO,Lista ativa
06319316000127,2021-07-01,Small,Lista ativa
06320730000156,2020-09-01,Small,Evento
06327160000126,2019-08-01,SEM PORTE DEFINIDO,Lista ativa
06346446000159,2022-06-01,Small,Lista ativa
06347811000140,2019-06-01,SEM PORTE DEFINIDO,Lista ativa
06353068000130,2021-02-01,Middle,Lista ativa
06367953000179,2021-05-01,Small,Lista ativa
06813678000170,2020-08-01,Small,Passiva mkt
06847915000202,2019-05-01,SEM PORTE DEFINIDO,Lista ativa
06886738000184,2018-09-01,SEM PORTE DEFINIDO,Lista ativa
06933053000141,2020-09-01,Middle,Lista ativa
06939710000168,2019-05-01,SEM PORTE DEFINIDO,Lista ativa
06951031000104,2021-05-01,Small,Passiva mkt
06953347000216,2021-02-01,Very Small,Passiva mkt
06961900000181,2021-07-01,Middle,Lista ativa
06981100000122,2022-03-01,Middle,Passiva mkt
06988246000108,2021-06-01,Middle,Evento
06997098000180,2022-01-01,Small,Lista ativa
07008954000190,2022-05-01,Small,Lista ativa
07019133000159,2018-12-01,SEM PORTE DEFINIDO,Lista ativa
07025063000141,2022-02-01,Small,Lista ativa
07029365000198,2020-03-01,Middle,Lista ativa
07029586000166,2020-07-01,Small,Lista ativa
07040379000102,2019-05-01,SEM PORTE DEFINIDO,Lista ativa
07042960000163,2022-03-01,Small,Lista ativa
07049038000106,2022-03-01,Very Small,Lista ativa
07065131000104,2019-07-01,SEM PORTE DEFINIDO,Lista ativa
07068460000109,2022-01-01,Large,Lista ativa
07080962000147,2019-09-01,Very small,Passiva mkt
07086868000103,2020-09-01,Middle,Lista ativa
07096295000190,2021-12-01,Very Small,Lista ativa
07119333000183,2022-02-01,Small,Lista ativa
07125171000196,2021-11-01,Very small,Passiva mkt
07139401000176,2019-01-01,SEM PORTE DEFINIDO,Lista ativa
07173668000180,2022-05-01,Middle,Lista ativa
07178322000174,2020-12-01,Small,Lista ativa
07220453000172,2021-02-01,Small,Lista ativa
07235232000178,2021-03-01,Large,Lista ativa
07242402000141,2021-11-01,Middle,Evento
07277518000116,2019-05-01,SEM PORTE DEFINIDO,Lista ativa
07281813000146,2021-01-01,Middle,Lista ativa
07286638000180,2019-09-01,SEM PORTE DEFINIDO,Lista ativa
07287865000120,2021-09-01,Middle,Passiva mkt
07297774000175,2020-01-01,Middle,Lista ativa
07306674000168,2019-05-01,SEM PORTE DEFINIDO,Lista ativa
07313859000108,2021-06-01,Very small,Evento
07320706000180,2022-09-01,Small,Passiva mkt
07333111000169,2021-06-01,Middle,Lista ativa
07343392000130,2020-12-01,Middle,Passiva mkt
07355207000128,2019-04-01,SEM PORTE DEFINIDO,Lista ativa
07382761000102,2020-02-01,SEM PORTE DEFINIDO,Lista ativa
07426946000163,2022-06-01,Middle,Lista ativa
07439459000135,2021-07-01,Small,Passiva mkt
07459312000107,2019-09-01,SEM PORTE DEFINIDO,Lista ativa
07466017000188,2019-09-01,SEM PORTE DEFINIDO,Lista ativa
07481844000140,2020-09-01,Small,Lista ativa
07507740000168,2020-12-01,Small,Evento
07515039000190,2021-08-01,Very small,Passiva mkt
07541596000186,2021-08-01,Middle,Lista ativa
07553129000176,2019-12-01,Very small,Evento
07593560000146,2021-09-01,Small,Lista ativa
07615950000170,2018-06-01,SEM PORTE DEFINIDO,Lista ativa
07622836000177,2022-07-01,Small,Lista ativa
07626135000106,2020-09-01,Small,Lista ativa
07650275000110,2018-11-01,SEM PORTE DEFINIDO,Lista ativa
07669497000184,2021-03-01,Very Small,Lista ativa
07686368000102,2021-08-01,Middle,Evento
07694020000159,2020-07-01,Middle,Lista ativa
07698596000194,2021-04-01,Middle,Indicação
07713772000110,2021-07-01,Small,Passiva mkt
07716779000195,2022-09-01,Middle,Lista ativa
