Id Spotter,CNPJ,Razão Social,Status,Data base,Data churn,LT (Meses),MRR Inicial,MRR Total (Atual),Spotter (R$),Comunicação (R$),Searching (R$),Exact Club (R$),Nº de Funcionarios Linkedin (Sobre),Nº funcionarios Conectados Linkedin,Link do LinkedIn,Porte (ajustado),Porte da Empresa segundo Receita Federal,Porte da Empresa segundo base de dados do Searching,Mercado,Sub setor,Leads em entrada,Agendamentos,Vendas,Cadencia ativa,Workflow ativo,Atividades concluidas,Numero de usuáros,Integração Inbound,Integração CRM,Minutos telefonia,Origem,Upsell (Sim / Não),Upsell (Nº),Upsell (R$),Downsell (Sim/Não),Downsell (Nº),Downsell (R$),Tipo de contrato,CNPJ
11770,23.661.687/0001-01,CHOC INDUSTRIA DE CHOCOLATES FINOS LTDA,Churn,01/02/2022,05/11/2022,9,1177,1177,759,99,319,,2-10,10,https://www.linkedin.com/company/choc-chocolates-finos/about/,Very small,EPP,ME,Comércio de Bens de Consumo não duráveis - Produtos Alimentícios e bebidas,,0,0,"2,333333333",0,14,"229,5",5,,,"79,75",Site,Não,0,0,,,,SEMESTRAL,23661687000101
11965,44.042.087/0001-35,WELLON DIGITAL LTDA,Churn,01/03/2022,14/11/2022,8,"1156,9","1156,9",759,"248,9",149,,11-50,12,https://www.linkedin.com/company/wellon-digital/about/,Small,ME,ME,Serviços - Tecnologia da Informação,,0,"12,28571429",1,1,30,"704,75",6,Hubspot,Agendor,1785,Site,Não,0,0,,,,SEMESTRAL,44042087000135
12146,15.176.644/0001-02,CARDOSO ADVOCACIA,Ativo,01/05/2022,,6,"1213,9","1213,9",796,"148,9",269,,2-10,33,linkedin.com/company/cardoso-advocacia/?originalSubdomain=br,Small,DEMAIS,ME,"Serviços - Financeiro, seguros, previdência complementar e planos de saúde",,0,"1,666666667",0,1,4,"437,8",6,,,"299,8",Indicação,Não,0,0,,,,MENSAL,15176644000102
12468,07.622.836/0001-77,MTM SERVICOS DE INFORMATICA LTDA,Ativo,01/07/2022,,4,1177,1177,759,99,319,,11-50,26,https://www.linkedin.com/company/mtm-tecnologia/,Small,DEMAIS,DEM,Serviços - Tecnologia da Informação,,0,"4,5",0,2,4,"2,666666667",6,,,370,ListasAtivas,Não,0,0,Sim,1,99,SEMESTRAL,7622836000177
12509,05.855.306/0001-43,PROSEB  PROJETTUS SOLARES ENGENHARIA BAHIA LTDA.,Churn,01/08/2022,10/12/2022,4,1064,1064,597,318,149,,Não Tem,Não Tem,Não Tem,Very Small,ME,ME,Gás e Energia,,0,2,0,1,4,"55,5",10,,,"33,66666667",BDR,Não,0,0,,,,ANUAL,5855306000143
12579,28.747.374/0001-94,5W2H GESTAO EMPRESARIAL EIRELI,Ativo,01/08/2022,,3,"1544,9","1544,9",1097,"248,9",199,,Não Tem,Não Tem,Não Tem,Very Small,ME,ME,Software - Gestão Empresarial (ERP),,0,7,0,7,10,"310,5",8,,,433,BDR,Não,0,0,,,,ANUAL,28747374000194
12670,13.455.068/0001-07,DURIT BRASIL LTDA,Ativo,01/09/2022,,2,699,699,699,0,0,,51-200,95,https://www.linkedin.com/company/durit-brasil-ltda/about/,Middle,DEMAIS,DEM,Indústrias da Transformação - Metalurgica,,0,0,0,0,16,0,17,,,2,ListasAtivas,Não,0,0,,,,ANUAL,13455068000107
12681,39.280.908/0001-31,M DE FATIMA SENA MUSSATO,Ativo,01/10/2022,,1,"4376,9","4376,9",759,"248,9",369,3000,Não Tem,Não Tem,Não Tem,Very Small,ME,DEM,Gás e Energia,,0,0,0,0,8,0,6,,,0,ListasAtivas,Não,0,0,,,,SEMESTRAL,39280908000131
10928,00.729.687/0004-43,ARAUJO E BRILHANTE INDUSTRIA E COMERCIO DE ROUPAS EIRELI,Churn,01/07/2021,21/03/2022,8,"1216,9","1216,9",,,,,201-500,12,www.linkedin.com/company/araujo-e-brilhante-ind-e-com-de-roupas-ltda/,Middle,DEMAIS,DEM,"Indústrias da Transformação - Texteis, de couro, vestuário, calçados e acessórios",,2006,2,0,1,6,0,22,,,0,ListasAtivas,Não,0,0,,,,ANUAL,729687000443
11646,12.278.636/0001-89,R C N CONSULTORIA E SISTEMAS LTDA,Ativo,01/01/2022,,10,"966,9","966,9",699,"148,9",119,,11-50,29,https://www.linkedin.com/company/rcn-&-bs/,Small,EPP,DEM,Software - Gestão Empresarial (ERP),,0,"1,4","1,333333333",0,6,"51,875",4,,,"264,5",Site,Não,0,0,,,,ANUAL,12278636000189
