cnpj,data_base,mes,logo
00640736000124,2019-01-01,6,1
00640736000124,2019-01-01,7,1
00640736000124,2019-01-01,8,1
00640736000124,2019-01-01,9,1
00640736000124,2019-01-01,10,1
00640736000124,2019-01-01,11,1
00640736000124,2019-01-01,12,1
00640736000124,2019-01-01,13,1
00640736000124,2019-01-01,14,1
00640736000124,2019-01-01,15,1
00640736000124,2019-01-01,16,1
00640736000124,2019-01-01,17,1
00640736000124,2019-01-01,18,1
00640736000124,2019-01-01,19,1
00640736000124,2019-01-01,20,1
00640736000124,2019-01-01,21,1
00640736000124,2019-01-01,22,1
00640736000124,2019-01-01,23,1
00640736000124,2019-01-01,24,1
00640736000124,2019-01-01,25,1
00640736000124,2019-01-01,26,1
00640736000124,2019-01-01,27,1
00640736000124,2019-01-01,28,1
00640736000124,2019-01-01,29,1
00640736000124,2019-01-01,30,1
00640736000124,2019-01-01,31,1
00640736000124,2019-01-01,32,1
00640736000124,2019-01-01,33,1
00640736000124,2019-01-01,34,1
00640736000124,2019-01-01,35,1
00640736000124,2019-01-01,36,1
00640736000124,2019-01-01,37,1
00640736000124,2019-01-01,38,1
00640736000124,2019-01-01,39,1
00640736000124,2019-01-01,40,1
00640736000124,2019-01-01,41,1
00640736000124,2019-01-01,42,1
00640736000124,2019-01-01,43,1
00640736000124,2019-01-01,44,1
00640736000124,2019-01-01,45,1
00668752000125,2020-07-01,1,1
00668752000125,2020-07-01,2,1
00668752000125,2020-07-01,3,1
00668752000125,2020-07-01,4,1
00668752000125,2020-07-01,5,1
00668752000125,2020-07-01,6,1
00668752000125,2020-07-01,7,1
00668752000125,2020-07-01,8,1
00668752000125,2020-07-01,9,1
00668752000125,2020-07-01,10,1
00668752000125,2020-07-01,11,1
00668752000125,2020-07-01,12,1
00668752000125,2020-07-01,13,1
00712911000141,2022-01-01,1,1
00712911000141,2022-01-01,2,1
00712911000141,2022-01-01,3,1
00712911000141,2022-01-01,4,1
00712911000141,2022-01-01,5,1
00712911000141,2022-01-01,6,1
00712911000141,2022-01-01,7,1
00712911000141,2022-01-01,8,1
00712911000141,2022-01-01,9,1
00712911000141,2022-01-01,10,1
00714671000114,2022-10-01,1,1
00714679000180,2022-02-01,1,1
00714679000180,2022-02-01,2,1
00714679000180,2022-02-01,3,1
00714679000180,2022-02-01,4,1
00714679000180,2022-02-01,5,1
00714679000180,2022-02-01,6,1
00714679000180,2022-02-01,7,1
00714679000180,2022-02-01,8,1
00714679000180,2022-02-01,9,1
00720263000175,2021-06-01,1,1
00720263000175,2021-06-01,2,1
